HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460364.63294,2024-02-24.1350666,bm,2.02,15.680,14.413,0.068,6.235,0.390,g
2460364.86565,2024-02-24.3677550,bE,1.47,15.738,14.554,0.074,5.476,0.369,g
2460364.86692,2024-02-24.3690288,bE,1.49,15.947,14.644,0.066,5.036,0.305,g
2460364.86821,2024-02-24.3703166,bE,1.52,15.766,14.706,0.083,4.761,0.359,g
2460366.96336,2024-02-26.4652972,bq,1.56,16.266,14.715,0.053,4.718,0.227,g
2460367.87524,2024-02-27.3771032,bE,1.44,16.331,14.692,0.048,4.824,0.214,g
2460367.87652,2024-02-27.3783796,bE,1.49,16.361,14.687,0.047,4.841,0.208,g
2460367.87779,2024-02-27.3796537,bE,1.50,16.221,14.672,0.053,4.912,0.236,g
2460371.15612,2024-03-01.6576962,bA,2.18,14.958,14.445,0.137,6.058,0.756,g
2460371.15737,2024-03-01.6589437,bA,2.22,14.417,>14.417,99.990,2.817,1.242,g
2460371.15861,2024-03-01.6601847,bA,2.17,14.412,>14.412,99.990,6.122,1.250,g
2460384.91245,2024-03-15.4128157,bi,1.96,16.067,15.663,0.151,1.972,0.272,g
2460385.87404,2024-03-16.3743140,bi,1.53,17.072,15.936,0.077,1.533,0.108,g
2460385.87526,2024-03-16.3755373,bi,1.52,17.014,15.793,0.071,1.749,0.114,g
2460385.87649,2024-03-16.3767591,bi,1.43,17.020,15.806,0.072,1.729,0.113,g
2460386.86581,2024-03-17.3659956,bE,1.48,17.042,15.980,0.082,1.472,0.111,g
2460386.86705,2024-03-17.3672333,bE,1.42,17.223,16.042,0.074,1.390,0.094,g
2460386.86828,2024-03-17.3684710,bE,1.43,17.132,15.928,0.072,1.544,0.102,g
2460391.14354,2024-03-21.6433341,bA,2.01,17.047,15.734,0.065,1.847,0.110,g
2460391.14477,2024-03-21.6445666,bA,2.03,17.009,16.245,0.109,1.153,0.114,g
2460391.14600,2024-03-21.6457899,bA,2.03,16.888,16.444,0.146,0.961,0.128,g
2460394.84259,2024-03-25.3420545,bi,2.01,15.967,>15.967,99.990,0.957,0.298,g
2460394.84383,2024-03-25.3432950,bi,1.89,15.921,>15.921,99.990,0.599,0.311,g
2460394.84506,2024-03-25.3445206,bi,1.42,15.941,>15.941,99.990,1.227,0.305,g
2460396.14127,2024-03-26.6406090,bA,2.05,16.232,>16.232,99.990,0.709,0.233,g
2460396.14251,2024-03-26.6418531,bA,2.07,16.313,>16.313,99.990,0.202,0.217,g
2460396.14376,2024-03-26.6430973,bA,2.06,16.305,>16.305,99.990,0.674,0.218,g
2460396.81440,2024-03-27.3136923,bi,1.56,16.112,>16.112,99.990,-0.382,0.261,g
2460396.81563,2024-03-27.3149253,bi,1.97,16.015,>16.015,99.990,0.213,0.285,g
2460396.81686,2024-03-27.3161486,bi,1.92,16.080,>16.080,99.990,0.448,0.269,g
2460398.83963,2024-03-29.3387361,bE,1.53,16.396,>16.396,99.990,0.338,0.201,g
2460398.84087,2024-03-29.3399775,bE,1.51,16.568,>16.568,99.990,0.471,0.171,g
2460398.84211,2024-03-29.3412171,bE,1.45,16.636,>16.636,99.990,0.696,0.161,g
2460399.83893,2024-03-30.3379446,bi,1.34,16.506,>16.506,99.990,0.325,0.181,g
2460399.84017,2024-03-30.3391783,bi,1.47,16.281,>16.281,99.990,0.416,0.223,g
2460399.84139,2024-03-30.3404060,bi,1.36,16.164,>16.164,99.990,0.173,0.248,g
2460400.89681,2024-03-31.3957407,bE,1.46,16.756,>16.756,99.990,0.488,0.144,g
2460400.89806,2024-03-31.3969880,bE,1.46,16.656,>16.656,99.990,0.703,0.158,g
2460400.89929,2024-03-31.3982177,bE,1.44,16.732,>16.732,99.990,0.453,0.147,g
2460401.91895,2024-04-01.4177752,bi,1.41,16.035,>16.035,99.990,0.840,0.280,g
2460401.92017,2024-04-01.4189987,bi,1.46,15.900,>15.900,99.990,0.360,0.317,g
2460401.92139,2024-04-01.4202184,bi,1.90,15.733,>15.733,99.990,0.007,0.370,g
2460416.86459,2024-04-16.3621575,bi,1.42,17.081,>17.081,99.990,0.261,0.107,g
2460417.76097,2024-04-17.2584719,bE,1.51,17.185,17.179,0.218,0.488,0.097,g
2460417.76220,2024-04-17.2597030,bE,1.53,17.226,>17.226,99.990,0.439,0.093,g
2460417.76344,2024-04-17.2609430,bE,1.62,17.142,16.916,0.178,0.622,0.101,g
2460418.86334,2024-04-18.3607472,bi,1.44,17.115,>17.115,99.990,0.378,0.104,g
2460419.89140,2024-04-19.3887334,bi,1.45,17.200,>17.200,99.990,0.386,0.096,g
2460419.89264,2024-04-19.3899717,bi,1.40,17.105,>17.105,99.990,0.429,0.105,g
2460419.89387,2024-04-19.3912008,bi,1.44,17.164,16.861,0.166,0.654,0.099,g
2460423.07145,2024-04-22.5685276,bA,2.13,16.191,>16.191,99.990,0.479,0.243,g
2460423.07270,2024-04-22.5697798,bA,2.11,16.421,>16.421,99.990,0.522,0.196,g
2460423.07395,2024-04-22.5710320,bA,2.14,16.532,16.464,0.206,0.943,0.177,g
2460423.74407,2024-04-23.2411111,bi,2.30,15.956,>15.956,99.990,0.068,0.301,g
2460423.74529,2024-04-23.2423289,bi,2.29,15.887,>15.887,99.990,0.574,0.321,g
2460423.74652,2024-04-23.2435567,bi,2.28,15.936,>15.936,99.990,0.118,0.307,g
2460424.74958,2024-04-24.2465390,bi,1.39,15.931,>15.931,99.990,1.041,0.308,g
2460424.75081,2024-04-24.2477753,bi,1.40,15.877,>15.877,99.990,0.315,0.324,g
2460424.75205,2024-04-24.2490101,bi,1.37,15.757,>15.757,99.990,1.542,0.362,g
2460425.76217,2024-04-25.2590489,bi,1.45,16.055,>16.055,99.990,0.330,0.275,g
2460425.76341,2024-04-25.2602903,bi,1.49,16.050,>16.050,99.990,0.517,0.276,g
2460425.76462,2024-04-25.2615123,bi,1.54,16.127,>16.127,99.990,0.088,0.257,g
2460428.50910,2024-04-28.0057899,bm,1.93,15.201,>15.201,99.990,2.698,0.604,g
2460428.70701,2024-04-28.2036817,bE,1.44,15.914,>15.914,99.990,0.409,0.313,g
2460428.70826,2024-04-28.2049276,bE,1.48,16.005,>16.005,99.990,0.559,0.288,g
2460428.70949,2024-04-28.2061609,bE,1.39,16.065,>16.065,99.990,1.038,0.272,g
2460429.79707,2024-04-29.2936709,bq,1.57,16.532,16.402,0.195,0.998,0.177,g
2460429.79829,2024-04-29.2948952,bq,1.48,16.550,16.139,0.150,1.272,0.174,g
2460429.79953,2024-04-29.2961290,bq,1.40,16.558,16.107,0.145,1.309,0.173,g
2460431.94628,2024-05-01.4427450,bq,1.50,16.788,16.150,0.122,1.259,0.140,g
2460431.94751,2024-05-01.4439645,bq,1.50,16.740,16.163,0.129,1.243,0.146,g
2460431.94873,2024-05-01.4451895,bq,1.51,16.767,16.304,0.143,1.092,0.143,g
2460432.78582,2024-05-02.2822215,bi,1.48,16.720,16.359,0.157,1.038,0.149,g
2460432.78705,2024-05-02.2834469,bi,1.46,16.735,16.311,0.148,1.085,0.147,g
2460432.78828,2024-05-02.2846783,bi,1.55,16.602,16.232,0.156,1.167,0.166,g
2460433.79739,2024-05-03.2937151,bE,1.51,17.174,16.150,0.085,1.259,0.098,g
2460433.79862,2024-05-03.2949541,bE,1.41,17.029,16.073,0.091,1.352,0.112,g
2460433.79987,2024-05-03.2962057,bE,1.47,16.988,16.004,0.089,1.440,0.116,g
2460434.84203,2024-05-04.3382888,bE,1.55,17.118,16.103,0.086,1.315,0.103,g
2460434.84326,2024-05-04.3395195,bE,1.50,17.166,15.997,0.075,1.449,0.099,g
2460434.84450,2024-05-04.3407562,bE,1.45,17.166,16.122,0.084,1.291,0.099,g
2460436.77122,2024-05-06.2673626,bq,1.54,16.897,15.809,0.080,1.724,0.127,g
2460436.77245,2024-05-06.2685893,bq,1.50,16.792,15.843,0.091,1.671,0.139,g
2460436.77368,2024-05-06.2698181,bq,1.41,16.902,16.129,0.108,1.283,0.126,g
2460437.82879,2024-05-07.3248673,bq,1.49,17.068,15.753,0.065,1.816,0.108,g
2460437.83001,2024-05-07.3260848,bq,1.51,17.077,15.985,0.080,1.466,0.107,g
2460437.83123,2024-05-07.3273030,bq,1.48,17.159,15.849,0.065,1.662,0.099,g
2460438.89133,2024-05-08.3873343,bq,1.52,17.136,15.755,0.061,1.812,0.102,g
2460438.89253,2024-05-08.3885508,bq,1.52,17.176,15.791,0.061,1.751,0.098,g
2460438.89375,2024-05-08.3897670,bq,1.50,17.171,15.865,0.066,1.636,0.098,g
2460439.87780,2024-05-09.3737475,bi,1.37,16.132,15.613,0.136,2.065,0.256,g
2460439.87902,2024-05-09.3749753,bi,1.39,16.272,15.530,0.111,2.229,0.225,g
2460439.88025,2024-05-09.3762090,bi,1.41,16.595,15.629,0.090,2.034,0.167,g
2460440.88494,2024-05-10.3808331,bq,1.46,16.976,15.769,0.072,1.787,0.118,g
2460440.88617,2024-05-10.3820663,bq,1.43,17.047,15.716,0.064,1.876,0.110,g
2460440.88739,2024-05-10.3832922,bq,1.47,17.227,15.713,0.054,1.882,0.094,g
2460442.83099,2024-05-12.3267811,bi,1.48,16.669,15.496,0.074,2.299,0.156,g
2460442.83099,2024-05-12.3267807,bj,1.58,16.762,15.623,0.077,2.045,0.143,g
2460442.83221,2024-05-12.3280008,bi,1.45,16.822,15.511,0.065,2.267,0.136,g
2460442.83344,2024-05-12.3292263,bi,1.43,16.742,15.460,0.067,2.376,0.146,g
2460442.83344,2024-05-12.3292263,bj,1.58,16.710,15.643,0.082,2.009,0.150,g
2460443.83651,2024-05-13.3322501,bE,2.04,16.749,15.590,0.075,2.109,0.145,g
2460443.83901,2024-05-13.3347458,bE,2.05,16.905,15.491,0.060,2.310,0.126,g
2460444.66829,2024-05-14.1639908,bE,1.77,99.990,99.990,99.990,99.990,99.990,g
2460444.66955,2024-05-14.1652347,bE,1.55,99.990,99.990,99.990,99.990,99.990,g
2460444.67079,2024-05-14.1664743,bE,1.68,99.990,99.990,99.990,99.990,99.990,g
2460444.77932,2024-05-14.2750063,bE,1.91,99.990,99.990,99.990,99.990,99.990,g
2460444.78057,2024-05-14.2762488,bE,2.31,99.990,99.990,99.990,99.990,99.990,g
2460444.78182,2024-05-14.2774991,bE,1.73,99.990,99.990,99.990,99.990,99.990,g
2460444.88316,2024-05-14.3788413,bq,1.39,17.017,15.390,0.049,2.537,0.113,g
2460444.88439,2024-05-14.3800689,bq,1.39,17.063,15.428,0.048,2.449,0.109,g
2460444.88561,2024-05-14.3812887,bq,1.39,17.016,15.363,0.048,2.600,0.114,g
2460446.80149,2024-05-16.2970712,bE,1.55,16.741,15.318,0.059,2.708,0.146,g
2460446.80274,2024-05-16.2983244,bE,1.58,16.872,15.221,0.048,2.961,0.130,g
2460446.80399,2024-05-16.2995754,bE,1.53,16.412,15.375,0.084,2.572,0.198,g
2460448.42684,2024-05-17.9223479,bm,1.47,16.053,15.191,0.099,3.047,0.276,g
2460448.42808,2024-05-17.9235842,bm,1.51,16.138,15.194,0.092,3.037,0.255,g
2460448.42931,2024-05-17.9248153,bm,1.48,16.348,15.227,0.078,2.945,0.210,g
2460449.45136,2024-05-18.9468092,bm,1.49,16.312,15.158,0.076,3.139,0.217,g
2460449.45279,2024-05-18.9482385,bm,1.48,16.299,15.230,0.082,2.938,0.220,g
2460449.45411,2024-05-18.9495565,bm,1.56,16.363,15.018,0.063,3.572,0.207,g
2460450.73903,2024-05-20.2344194,bq,1.51,16.127,15.183,0.092,3.068,0.257,g
2460450.74026,2024-05-20.2356503,bq,1.42,16.135,15.176,0.091,3.088,0.256,g
2460450.74148,2024-05-20.2368804,bq,1.57,16.234,15.149,0.081,3.166,0.233,g
2460454.65324,2024-05-24.1484700,bi,1.61,15.572,15.209,0.157,2.995,0.429,g
2460454.65447,2024-05-24.1496998,bi,1.59,15.600,15.207,0.153,2.998,0.418,g
2460454.65570,2024-05-24.1509299,bi,1.53,15.563,15.141,0.149,3.187,0.433,g
2460456.71901,2024-05-26.2141631,bi,1.52,16.015,14.989,0.085,3.666,0.286,g
2460456.72025,2024-05-26.2154017,bi,1.44,15.998,14.803,0.073,4.355,0.290,g
2460456.72148,2024-05-26.2166410,bi,1.46,15.877,14.808,0.082,4.332,0.324,g
2460457.72893,2024-05-27.2240418,bi,1.50,16.181,14.848,0.064,4.176,0.245,g
2460457.73016,2024-05-27.2252731,bi,1.55,16.131,14.788,0.064,4.412,0.256,g
2460457.73138,2024-05-27.2265049,bi,1.52,16.155,14.822,0.064,4.281,0.251,g
2460458.83894,2024-05-28.3340149,bq,1.54,14.607,14.591,0.218,5.291,1.054,g
2460458.84017,2024-05-28.3352442,bq,1.43,14.828,>14.828,99.990,3.526,0.855,g
2460458.84140,2024-05-28.3364718,bq,1.56,15.641,14.907,0.112,3.958,0.405,g
2460461.95572,2024-05-31.4506947,bA,2.05,17.013,14.676,0.025,4.890,0.115,g
2460461.95697,2024-05-31.4519461,bA,2.04,17.046,14.695,0.025,4.811,0.111,g
2460461.95822,2024-05-31.4531906,bA,2.05,17.011,14.715,0.026,4.718,0.115,g
2460462.61850,2024-06-01.1134604,bi,1.71,16.538,14.792,0.044,4.397,0.177,g
2460462.61973,2024-06-01.1146859,bi,1.73,16.638,14.721,0.037,4.696,0.161,g
2460462.62095,2024-06-01.1159112,bi,1.79,16.561,14.715,0.040,4.721,0.173,g
2460463.01908,2024-06-01.5140208,bA,2.10,16.953,14.678,0.027,4.883,0.121,g
2460463.02032,2024-06-01.5152583,bA,2.09,16.938,14.644,0.026,5.036,0.123,g
2460463.02156,2024-06-01.5164990,bA,2.09,16.997,14.714,0.027,4.725,0.116,g
2460463.64906,2024-06-02.1439939,bE,1.48,16.408,14.642,0.043,5.048,0.199,g
2460463.65030,2024-06-02.1452375,bE,1.49,15.525,14.773,0.111,4.478,0.454,g
2460463.65154,2024-06-02.1464737,bE,1.42,16.431,14.668,0.043,4.931,0.195,g
2460464.00075,2024-06-02.4956620,bA,2.02,16.951,14.626,0.026,5.122,0.121,g
2460464.00199,2024-06-02.4969076,bA,2.03,17.009,14.660,0.025,4.967,0.115,g
2460464.00323,2024-06-02.4981462,bA,2.01,17.007,14.642,0.025,5.051,0.115,g
2460464.68308,2024-06-03.1779843,bE,1.40,16.863,14.642,0.028,5.051,0.132,g
2460464.68432,2024-06-03.1792267,bE,1.52,16.867,14.648,0.028,5.025,0.131,g
2460464.68556,2024-06-03.1804594,bE,1.48,16.849,14.624,0.028,5.136,0.134,g
2460465.02272,2024-06-03.5176122,bA,2.07,16.925,14.653,0.027,4.996,0.124,g
2460465.02396,2024-06-03.5188459,bA,2.05,16.965,14.627,0.025,5.120,0.120,g
2460465.02520,2024-06-03.5200936,bA,2.06,17.002,14.593,0.024,5.280,0.116,g
2460465.94843,2024-06-04.4433031,bA,2.43,16.667,14.613,0.033,5.184,0.157,g
2460465.94968,2024-06-04.4445452,bA,2.42,16.667,14.595,0.032,5.275,0.157,g
2460465.95092,2024-06-04.4457944,bA,2.27,16.825,14.546,0.027,5.518,0.136,g
2460466.91940,2024-06-05.4142438,bA,2.05,16.913,14.580,0.025,5.349,0.126,g
2460466.92065,2024-06-05.4154905,bA,2.03,17.036,14.587,0.023,5.313,0.112,g
2460466.92188,2024-06-05.4167277,bA,2.06,16.910,14.573,0.025,5.382,0.126,g
2460468.03329,2024-06-06.5281262,bA,2.00,17.020,14.569,0.023,5.400,0.114,g
2460468.03456,2024-06-06.5293879,bA,2.00,16.956,14.602,0.025,5.239,0.121,g
2460468.03580,2024-06-06.530625,bA,2.00,16.915,14.555,0.025,5.467,0.125,g
